Strain	Megaplasmid	Chromid	Either	Both	Overall
Ralstonia_eutropha	1	1	1	1	2
Ralstonia_insidiosa	1	1	1	1	2
Ralstonia_mannitolilytica	0	1	1	0	2
Ralstonia_pickettii	1	1	1	1	2
Ralstonia_solanacearum	0	1	1	0	2
Ramlibacter_tataouinensis	0	0	0	0	0
Rhizobacter_gummiphilus	0	0	0	0	0
Rhodoferax_antarcticus	0	0	0	0	0
Rhodoferax_ferrireducens	0	0	0	0	0
Rhodoferax_saidenbachensis	0	0	0	0	0
Rhodoferax_sp	0	0	0	0	0
Roseateles_depolymerans	0	0	0	0	0
Rubrivivax_gelatinosus	0	0	0	0	0
Sideroxydans_lithotrophicus	0	0	0	0	0
Snodgrassella_alvi	0	0	0	0	0
Sulfuricella_denitrificans	0	0	0	0	0
Sulfuriferula_sp	0	0	0	0	0
Sulfuritalea_hydrogenivorans	0	0	0	0	0
Taylorella_asinigenitalis	0	0	0	0	0
Taylorella_equigenitalis	0	0	0	0	0
Thauera_chlorobenzoica	0	0	0	0	0
Thauera_humireducens	0	0	0	0	0
Thauera_sp	0	0	0	0	0
Thiobacillus_denitrificans	0	0	0	0	0
Thiomonas_arsenitoxydans	0	0	0	0	0
Thiomonas_intermedia	0	0	0	0	0
Variovorax_boronicumulans	0	0	0	0	0
Variovorax_paradoxus	0	1	1	0	2
Variovorax_sp	0	0	0	0	0
Verminephrobacter_eiseniae	0	0	0	0	0
Vitreoscilla_filiformis	0	0	0	0	0
Vogesella_sp	0	0	0	0	0
